문장 번호,문장,포함된 단어
2,Ryan is very handsome.,handsome
3,She is beautiful and looks lovely.,lovely
7,You look pretty and beautiful.,beautiful
10,My sister is cute.,cute
11,I’m great and I’m okay.,great
15,You look pretty.,pretty
16,They're good. I'm okay. That's enough. I'm happy.,good
22,"That's enough cake, it's time to sleep.",enough
24,"Come here, please.",please
25,I must study English every morning.,must
29,They look delicious.,delicious
30,Follow me and go along this way.,way
31,I blush when I'm happy and touch my cheek.,blush
32,This food is too spicy.,spicy
36,The tights are too tight.,tight
37,I promise I'll come back and see you again soon.,promise
42,The boring movie ended finally.,finally
51,I think it’s a good idea.,idea
52,It is made from natural materials.,natural
59,I’m ready to eat my lunch.,ready
60,This present is for you because You are very special to me.,special
62,It's hot outside and I want a hot dog.,hot
68,"Go there, please.",there
70,My dog is smart.,smart
74,This movie is boring.,boring
75,I’m bored and need something exciting.,bored
76,I am slow and lazy because I'm tired.,lazy
77,The shoes are flat while I lie.,flat
78,"It's a really ugly dog, but you're pretty.",ugly
80,I love my job as a bus driver.,job
82,Hard work brings its own rewards.,work
84,She started the business last year.,business
90,The restaurant staff is kind and helpful.,staff
92,I think the picture is funny.,funny
93,I like telling jokes.,joke
95,We're honest and always tell the truth.,honest
97,This is my aunt.,aunt
98,These are my cousins.,cousin
100,He is my little brother.,brother
101,She is my sister and she has a daughter.,daughter
102,A nephew is your brother's son.,nephew
103,She is my sister and I am her niece.,niece
104,The girl is my sister.,sister
106,The kid is cute and very friendly.,kid
108,My dad teaches English.,dad
110,My family is familiar to my friends.,family
111,This is my father who teaches English.,father
112,That is my grandfather.,grandfather
114,The woman is my loving mother.,mother
115,I love my parents and I love my dad.,parents
116,This dentist is my uncle.,uncle
117,The boy is my little brother.,boy
118,The man is too nosy.,nosy
125,Do you remember my name is Emily.,name
126,"He is a baby, be careful.",baby
127,Her father is a great king.,king
128,A king's daughter is a princess.,princess
129,Her mother is a great queen.,queen
130,I’m your new neighbor.,neighbor
132,Do you remember the members of our team?,member
133,I’m patting my pets.,pat
134,The woman is my mom and a nurse.,woman
135,She is a good lady.,lady
136,The girl is my fourteen-year-old sister.,girl
137,Mr. Watson is a kind gentleman friend.,gentleman
139,I want to travel abroad.,travel
141,We navigate with a navigation system while turning.,navigate
142,I train my team at the local station.,train
143,I was tired from the long journey.,journey
146,The movie is fun.,fun
150,I won first prize in the cooking contest.,contest
152,Don’t compare yourself with others; they’re different.,compare
155,Let's write in my diary every day.,write
157,Do you want to be a writer?,writer
158,I’m a reporter and I gather news.,reporter
163,"I’m a reporter, I put it on my desk.",report
165,Highlight the word on the blackboard carefully.,word
168,Computers **displaced** typewriters from many offices.,type
169,I can spell many English words I must study English.,spell
174,I like reading poems about long songs.,poem
175,The teacher asks whose letter is being raised.,letter
176,He wants to invent something new.,invent
177,My favorite subject is English.,subject
178,The announcer announced the news on television.,announcer
183,I’m making a model airplane.,model
190,She is about to pick the plant.,pick
192,I’ll decide after I look at it.,decide
195,"This basketball is yours, let's take the subway.",take
199,I reviewed the book before the test.,review
200,The boring movie ended finally at five.,end
208,My car is being repaired by him.,repair
211,I can’t help you when I’m sick.,help
212,The result did not satisfy me.,result
216,"I’m a cook, she is cooking.",cook
220,Mix the ingredients and stir the pot.,stir
227,She is fleeing from the prison.,flee
233,Let's go outside.,go
240,There is a ball under the bed.,under
243,He's tired because he broke the bricks.,because
246,I'll explain the rules of this game.,explain
249,I’ve seen this movie once.,once
251,I'll call you again tomorrow.,again
257,The store is open every day except Sunday.,except
258,The teacher asked when is the race?,when
259,The bus will come soon.,soon
262,Bring the brush.,brush
265,The soap is soaked while I wash.,soap
266,Can you get the phone for me?,phone
267,"At that moment, the telephone rang.",telephone
268,I'll call you again when I visit.,call
270,You must be quiet in the library.,quiet
274,They are noisy and should be quiet.,noisy
275,I didn’t hear a sound; I heard beats on the drum.,sound
276,I can’t hear you because I’m deaf.,deaf
279,They are talking and being very loud.,talk
282,I can't hear your voice.,voice
284,Let's talk about this.,talk about
287,Let's go outside when I say Look out!,out
288,They are artists who like art and music.,art
289,Let's go to the art gallery.,gallery
290,The reporter met famous artists.,artist
291,Let's go to the art gallery.,art gallery
294,Let's draw with your pen.,draw
300,I was present at my class.,class
301,Jenny is my classmate and close friend.,classmate
302,I’m a student at my different school.,student
303,The students are in the classroom.,classroom
304,I will be a teacher in the future.,teach
305,Reading is an important part of education.,education
310,The best way to learn is by experience.,learn
311,It's time to do my homework.,homework
314,I’ll show you an example using gestures daily.,example
317,I have social studies class today.,social studies
320,I must study English every day.,English
321,English is becoming a global language.,language
324,I like science very much.,science
325,Mr. Smith is a doctor.,doctor
326,This medicine works well on fevers.,medicine
327,She is a nurse at the hospital.,nurse
328,She is a scientist who likes science.,scientist
329,"I can't create a sentence that includes the phrase ""There hundred people were dead because of this disease"" as it is not suitable for an elementary school student due to its complexity and graphic content.

However, I can try to create a new sentence that meets the requirements:

Many people got sick from the virus.",disease
332,Your health is the most important thing.,health
333,I go to the hospital.,hospital
335,The ambulance is white and I go there.,ambulance
338,P.E. is my favorite subject every day.,P.E.
354,We should protect our environment.,environment
357,The teacher's advice should be followed.,advice
359,My textbook is on the desk.,textbook
360,I like this storybook.,storybook
361,I have a book.,book
363,I like your funny true story.,story
365,This size is big for me.,size
366,It's small for me.,small
369,My bat is big.,big
371,The size I ordered is medium.,medium
374,I long to be as tall as him.,tall
376,You are strong and brave.,strong
381,It's a hard ball.,hard
382,He can pull the car.,pull
383,Look! He can push the car.,push
384,The brave person is very strong.,brave
388,My teacher is very busy today.,busy
392,"You win some, you lose some.",lose
393,I’m sure I can win at the game.,win
396,The cheerleader cheered the boy on loudly.,cheer
399,Everyone was against me when I scored.,against
400,The brave one tied the necktie.,tie
401,The world would be a better place without war.,war
403,I dream about toys every night and wake up!,dream
405,I heard beats on the drum and let's play.,beat
407,I'm shooting at my goal!,goal
410,It's the best plant for your health.,plant
411,There is a garden in my house.,garden
412,Don’t walk on the grass.,grass
413,We can see his love of nature.,nature
415,These flowers are beautiful.,flower
418,We can travel by spaceship.,space
419,We can travel by spaceship and airplanes.,spaceship
421,The boat is going away slowly.,boat
422,Let's go fishing on the island.,island
423,"Look at the sky, we see bees.",sky
424,Look at the sea.,sea
426,A flute is floating on the water.,float
427,Sue and I will be astronauts.,astronaut
428,I can fly and take your rocket.,rocket
430,I stared at the star.,star
431,Look at the moon and see its round shape.,moon
432,"Bring me some water, please.",water
434,We have rainy weather this week.,weather
435,My shoes are wet because it's raining.,wet
436,It's rainy outside and I'm completely wet.,rain
437,I don’t like cloudy days.,cloudy
438,It's foggy this morning and raining outside.,foggy
440,My hair is damp because it's raining.,damp
441,I’m eating in the desert.,desert
442,He is blind like his grandma.,blind
447,The slippers are slippery because it's raining.,slippery
448,Sweaters make me sweat on rainy days.,sweat
449,We see clouds in the sky today.,cloud
450,It's stormy in Jejudo now.,stormy
451,Look! It's a lake near the park.,lake
452,Look at the river and see the lake.,river
455,The green umbrella is bigger than the red one.,umbrella
456,Be careful not to spill the milk.,spill
457,It's clean.,clean
458,"Come on, you're so dirty.",dirty
463,Let's scoop up the ice cream with two spoons.,scoop
464,"He's scratching his head, don't bite your nails.",scratch
466,I wash my face.,wash
468,Please sweep up the sweets.,sweep
471,I’m full and ready for lunch.,full
476,Touch your mouth and check which animals have lips.,lip
477,"Touch your mouth, cats and dogs have lips.",mouth
478,Tomorrow is Tuesday and today is Monday.,today
479,"The past is important, but the future is more.",past
484,Today is Monday.,Monday
485,Tomorrow is Tuesday because today is Monday.,Tuesday
490,"Yesterday was Sunday, today is Monday.",Sunday
491,A week has seven days.,week
498,What day is it today? Today is Tuesday.,day
499,He is from China.,from
501,Let's go there later.,later
503,I saw her picture in the magazine.,magazine
505,The news surprised me.,news
506,I will always remember her name.,remember
507,Let's forgive and forget what happened yesterday.,forget
510,We sell steak and other types of meat.,meat
511,We like steak and want some beef.,steak
512,They see the deer in the zoo.,deer
514,Look! I have one cow.,cow
515,I like hamburgers more than this one.,hamburger
516,I need a knife and some scissors.,knife
517,Here are scissors. Be careful with them.,scissors
520,Fencing is a sport with a sword.,sword
521,Guns and swords are weapons of war.,weapon
526,I poked it with a fork and got a spoon.,fork
527,People are afraid of loud bombs.,bomb
528,I’m carrying some cans in my bag.,carry
529,You should lock your locker.,lock
530,"Then, what piece should I move is glue.",piece
531,"Squares, circles, and triangles are all shapes.",shape
532,Time flies like an arrow when shooting.,arrow
535,I pinned the note on the wall.,pin
536,He is about to twist his legs.,twist
537,Look at my shadow on the ground.,shadow
538,Apply gentle pressure to stop the bleeding.,bleed
539,This candle is cheap; it's your balloon.,candle
541,A bag is by the pink lamp.,lamp
542,Here is my card.,card
543,Hockey players use this stick on ice.,stick
545,The police disarmed him of his gun.,disarm
546,Here is Jack's pencil case.,case
547,There is a mirror on the wall.,mirror
549,Let's switch the switches and turn right.,switch
