final_sentence,grammar_score,coherence_score,word,sentence_meaning
My bat is big.,0.86,1,big,내 배트는 커요.
What size do you wear?' It's small.,0.99,1,small,어떤 사이즈를 입으세요? 작은 사이즈예요.
"I ordered a medium, not large. It’s big.",0.96,1,large,저는 대형이 아니라 중형을 주문했습니다. 큽니다.
One inch is 2.54 centimeters long.,0.84,1,centimeter,1인치는 2.54센티미터 길이입니다.
I'm short but Jason is also short.,0.87,1,short,저는 키가 작은데 제이슨도 키가 작아요.
That train and your arm are long.,0.87,0,long,그 기차와 당신의 팔은 길군요.
I long to be as tall as my brother.,0.84,1,tall,나는 형만큼 키가 크고 싶다.
The pumpkin is too heavy to carry.,0.93,1,heavy,호박이 너무 무거워서 옮길 수 없습니다.
We measured the weight of the pumpkin.,0.99,1,weigh,우리는 호박의 무게를 측정했습니다.
There is a pile of files that train is long.,0.63,0,pile,훈련이 긴 파일이 많이 있습니다.
He loaded the handcart. It’s too heavy.,0.98,1,load,그는 손수레에 짐을 싣습니다. 너무 무겁습니다.
This towel feels soft and very absorbent.,1.0,1,soft,이 수건은 부드럽고 흡수성이 아주 좋습니다.
The math test was very difficult.,0.87,1,difficult,수학 시험은 매우 어려웠습니다.
The gentleman is gentle when giving advice.,0.93,1,gentle,신사는 조언을 할 때 친절합니다.
You are so sensitive about your weight.,0.87,1,sensitive,당신은 체중에 너무 민감하군요.
"My homeroom teacher was very strict in class, but today she is trying to tie tight tights.",0.9,1,strict,"우리 담임선생님은 수업 시간에는 매우 엄격하셨지만, 오늘은 꽉 끼는 스타킹을 매려고 노력하고 계십니다."
It’s an old car on this road.,1.01,1,old,이 도로에는 오래된 차가 있습니다.
"I have one cow, and zero is my favorite number.",0.96,0,one,"저는 소 한 마리를 키우고 있는데, 제가 가장 좋아하는 숫자는 0입니다."
I have two tickets and know three plus two is five.,0.92,1,two,"저는 티켓 두 장을 가지고 있는데, 3 더하기 2는 5라는 걸 알아요."
I have three pigs and I know math facts.,0.97,1,three,저는 돼지를 세 마리 키우고 있어서 수학적 사실을 잘 알아요.
"The math problems are correct, it's five ten now.",0.82,0,five,수학 문제는 맞습니다. 지금은 5 10입니다.
Think of a number and add six.,0.87,1,six,숫자를 생각해 낸 다음 6을 더하세요.
Seven is my lucky number and seven pears.,0.62,1,seven,제 행운의 숫자는 7이고 배는 일곱 개예요.
"It's five ten now, the math checks out.",0.99,1,ten,"지금은 5시 10분이에요, 수학적으로 맞는 말이에요."
I’m eleven years old.,1.01,1,eleven,저는 열한 살이에요.
You are twelve years old today.,0.88,1,twelve,당신은 오늘 12살이 되었습니다.
"She is fourteen years old, just like her sister.",0.85,1,fourteen,그녀는 언니와 마찬가지로 열네 살입니다.
The teenager is fifteen years old.,0.86,1,fifteen,그 10대는 15살이에요.
My sister is sixteen years old.,0.87,1,sixteen,내 여동생은 열여섯 살이에요.
My brother and cousin are both seventeen years old.,0.84,1,seventeen,저의 형과 사촌은 둘 다 열일곱 살이에요.
My cousin is eighteen years old.,0.87,1,eighteen,내 사촌은 열여덟 살이에요.
The math textbook proves thirty plus forty is seventy.,0.97,1,seventy,수학 교과서에서는 30 더하기 40은 70이라고 증명합니다.
Forty plus forty is eighty.,0.62,1,eighty,사십 더하기 사십은 여든입니다.
The math book says Forty plus fifty is ninety.,0.98,1,ninety,수학책에는 40 더하기 50은 90이라고 나와 있어요.
I only have one hundred won.,1.0,1,hundred,내가 가진 돈은 백원뿐이에요.
Math problems include Ten times one hundred is one thousand.,0.93,0,thousand,수학 문제에는 10 곱하기 100은 1000입니다.
She perceived that she placed first.,0.99,1,first,그녀는 자신이 1위를 차지했다는 것을 깨달았습니다.
Our aim is to rank third in the world.,0.91,1,third,우리의 목표는 세계 3위에 오르는 것입니다.
Today is my twelfth birthday and they have math on Thursdays.,0.92,1,twelfth,"오늘은 제 열두 번째 생일인데, 매주 목요일마다 수학 수업이 있어요."
The world's population is more than 7 billion.,0.84,1,billion,세계 인구는 70억 명이 넘습니다.
"Here is a natural and meaningful English sentence that meets all the requirements: My age is twelve, I’m eleven years old.",0.89,1,age,"다음은 모든 요구 사항을 충족하는 자연스럽고 의미 있는 영어 문장입니다: My age is teenage, I&#39;m eleven years old."
The youth of today have no manners!,1.0,1,youth,요즘 젊은이들은 예의가 없습니다!
His weight is double hers.,0.88,0,double,그의 몸무게는 그녀의 몸무게의 두 배입니다.
I need a knife because it’s a knife.,0.96,1,knife,칼이 필요한 이유는 그것이 칼이기 때문이다.
Here are scissors. Be careful with them. They cut paper.,0.91,1,scissors,가위가 있습니다. 조심하세요. 종이를 자르거든요.
Fencing is a sport that uses a sword.,0.99,1,sword,펜싱은 칼을 사용하는 스포츠이다.
Guns and swords are weapons of war.,0.87,1,weapon,총과 칼은 전쟁의 무기입니다.
I poked it with a fork.,1.01,1,fork,포크로 찔렀어요.
He sawed a tree down in half.,1.01,1,saw,그는 나무를 반으로 잘랐다.
I want a box that's pink and in it.,0.71,1,box,저는 분홍색 상자가 들어있는 것을 원해요.
That is your black balloon.,0.87,0,balloon,저게 검은 풍선이에요.
This is his bell.,0.86,0,bell,이것이 그의 종이에요.
Do you need a bottle?,1.01,1,bottle,병이 필요하신가요?
Jenny puts the cheese on the tray.,1.0,1,tray,제니가 치즈를 접시에 올려놓는다.
I have breakfast at 7:30 every morning.,0.99,1,breakfast,저는 매일 아침 7시 30분에 아침을 먹습니다.
I have lunch at 12 p.m.,1.0,1,lunch,나는 오후 12시에 점심을 먹습니다
Let's have dinner here.,1.01,1,dinner,여기서 저녁을 먹자.
I have snacks when I'm hungry.,1.0,1,snack,배고프면 간식을 먹어요.
"I’m hungry, What’s your favorite food?",1.01,1,food,배고프네요. 당신이 가장 좋아하는 음식은 뭐예요?
I get up at 7 in the morning.,1.0,1,morning,저는 아침 7시에 일어납니다.
I have breakfast at 7:30 a.m.,0.99,1,have breakfast,나는 오전 7시 30분에 아침을 먹는다
I have lunch at 12 p.m.,1.0,1,have lunch,나는 오후 12시에 점심을 먹습니다
I have dinner here.,0.99,1,have dinner,저는 여기서 저녁을 먹습니다.
