sentence_id,sentence,word
1,It’s a knife.,knife
2,Here are scissors that cut paper and pencils.,scissors
3,Here are scissors that cut paper safely.,cut
4,It’s a fork. It’s a spoon. I have dinner.,fork
5,He can pull the car and he is strong.,pull
6,Look! He can push the car.,push
7,"Here is a natural English sentence that meets all the requirements:

I can't help you because my knee hurts.",help
8,I want that box with It’s a pink lunch box.,lunch box
9,I want a box that's black and pink.,box
11,Here is my gift. It's a blue doll.,gift
12,I want a key. It is my key.,key
13,I have two tickets. I’m going to the concert hall. We go to a concert.',ticket
14,I want a key after closing the door.,door
15,Open the window. The window is clean.,window
16,The button is big. Touch your hand.,button
17,I have breakfast when it's sunny outside.,breakfast
18,I have lunch and I’m eating.,lunch
19,"I have breakfast, lunch, and dinner at home.",dinner
21,"It’s sunny in the morning, it’s afternoon.",afternoon
23,I get up late because it's cold at night.,night
24,I’m at home. Open the window. Close the door. I go to the park.,home
26,It’s three o’clock and I get up late.,o’clock
27,We are dancers. She can dance.,dance
28,We are dancers. Look at her dance skills.,dancer
29,I can walk.,walk
30,Let’s go to the train station.,train
31,They go on a trip every weekend.,trip
32,It’s a new shop.,shop
33,I like skiing.,ski
34,I like skiing and going downhill fast.,skiing
35,"She can’t ski, but he can’t skate.",skate
36,I like playing with my old bike.,bike
37,I like swimming when I go to the pool.,swim
38,I’m at the pool.,pool
39,I like swimming at the local pool.,swimming
40,I can jump and run like my friends.,jump
41,Look! I can run. My knee hurts.,run
42,I can fly over that small airport.,fly
43,I'm going to let's go to the subway station.,go
44,Let's throw a ball.,throw
45,Let’s have a party at my house tonight.,party
46,Let’s have a party after I finish volleyball.,have a party
47,It's your birthday and we should celebrate!,birthday
48,I like camping and going on picnics.,picnic
49,Let's play the piano.,piano
50,Let's play the violin.,violin
51,They listen to music while we sing songs.,music
52,We watch a musical.,musical
53,That light is dark. It's cold at night.,light
54,"Let’s play the drum, piano, guitar, and recorder.",drum
55,Let's play the guitar.,guitar
56,Let's play the recorder.,recorder
57,Let's sing a song.,song
58,This is my radio.,radio
59,She can sing because He is a singer.,singer
60,It’s fast.,fast
62,Your arm is long.,long
63,Your belt is short; your arm is long.,short
64,She is smart. He is foolish. It’s fast. You’re kind.,smart
65,He is foolish because they are poor.,foolish
66,It's clean. I brush my teeth daily.,clean
68,They’re good. He is bad. My head hurts.,bad
69,I’m eating because they’re good.,good
70,We’re honest friends who are kind and close.,honest
72,I get up late; it's five ten now.,late
76,I can’t hear you because they are quiet.,quiet
78,I’m sorry I can’t hear you because it’s long.,sorry
80,I can’t hear you. Touch your ear.,hear
81,I can speak English and understand it.,understand
82,Let’s listen to the song.,listen
83,We’re in the bookstore on Friday morning.,bookstore
84,I see the bookshelf is dirty.,bookshelf
85,We go to the bank.,bank
86,I’m in the library on Tuesdays.,library
87,I have a book. We’re in the bookstore.',book
88,We're going to the post office.,post office
89,We're looking at The closet is clean.,closet
90,The fridge is small; it's just a lunch box.,fridge
91,The house is big.,house
92,Close the door after cleaning the wall.,wall
93,It’s a big apartment.,apartment
94,I go to the hospital because she is a nurse.,hospital
96,She is a nurse at the local hospital.,nurse
97,The telephone is white; it's his bell.,telephone
98,Ann is a doctor. She works at the hospital.,doctor
99,I have a black ball.,ball
100,Let's play badminton after we finish our homework.,badminton
101,Let’s play baseball.,baseball
102,We are playing basketball because we like sports.,basketball
103,We like sports and Let's play golf.,golf
104,We are playing ping-pong.,ping-pong
105,We are playing soccer.,soccer
106,We like sports and want to play badminton.,sport
108,We like sports; Let's play volleyball.,volleyball
109,She watches television while they watch a movie.,television
110,The board is big; We play computer games.,computer game
111,Let's play badminton after we finish the bridge is long.,bridge
112,"The board is big, let's play badminton.",board
113,Let's play badminton is not allowed. Let’s play volleyball. Let’s play baseball. Let’s play golf.',play
114,I have a bird; it's a zebra I want chicken.,bird
115,I want chicken that comes from my bird.,chicken
116,I want a bat.,bat
117,"The plane is gray, he can fly.",plane
118,You like curry. My foot hurts.,curry
119,We see the bees in the sky.,bee
120,"Tom is a pilot, He can fly.",pilot
121,"I have four cats, they have a pet.",cat
122,I have two dogs and it's a wolf.,dog
124,They have a pet.,pet
125,I have a doll. It’s a blue doll. I can buy this doll.',doll
126,I want a robot. That is my pet.,robot
127,They have gray computer notebooks that we play.,computer
128,It’s a mouse hiding behind my pencil.,mouse
129,I don’t like spiders because it’s a mouse.,spider
130,I am touching my eye because it is his camera.,camera
131,It’s my hat. It’s my sweater. This is my fan.,fan
132,Look at the fish. His hobby is fishing.,fish
133,His hobby is fishing. I have five fish.,fishing
134,"While fishing on the river and sea, The boat is yellow.",boat
135,Look at the river.,river
136,They see the pink dolphins in the sea.,sea
137,They see the pink dolphins in the sea.,dolphin
138,The sink is new; I'm washing my hands.,sink
139,I like lions and look at the tiger.,tiger
140,"I like lions, but I don't see any.",lion
141,I’m at the zoo and see zebras.,zoo
142,Look at the bear.,bear
143,I have one cow and want milk.,cow
144,Look at the elephant.,elephant
145,I like bananas and Look! I have a monkey.,monkey
146,Look! I have a pig.,pig
147,I see a frog and I like frogs.,frog
148,"I like giraffes, it's not me.",giraffe
149,I like kangaroos.,kangaroo
150,"I see rabbits, it’s a zebra and mouse.",rabbit
151,Look at the bear. It's a wolf.,wolf
152,It's a zebra.,zebra
153,They see the deer in the zoo. It’s a zebra. Look at the bear.,deer
154,Look at the lambs.,lamb
155,Look at the snakes. It’s a wolf.,snake
156,I do not like this is a melon.,melon
157,Do you like watermelons? This is a strawberry.,watermelon
158,I like grapes.,grapes
159,I like juice and that is a lemon.,lemon
161,I want milk because I like juice.,juice
162,Do you want carrots? Is this a strawberry?,carrot
163,Do you want onions?,onion
164,I don’t like pepper. It is a peach.,pepper
165,I want jam because I like juice.,jam
166,"I have eight oranges, and this is one of them.",orange
167,"It's white, brown, and gray, but it’s black.",black
168,I like this red color more than blue green.,blue
169,The bike and bed are both brown.,brown
170,I like this color when it's red.,color
171,"The paint colors are gray, brown, and red.",gray
172,My shorts are green.,green
174,I see it's red. It’s green. I like this color. It’s brown.,red
175,The car and T-shirt are both white.,white
176,It's a yellow pen. It’s red. It’s green. It’s white.,yellow
177,That light is dark. It’s cold at night.,dark
178,The colors of the rainbow are green and brown.,rainbow
179,This light is bright. That light is dark. It’s light. It’s sunny.,bright
180,This is a peach. It is a pear.,peach
181,That is a pear. I have seven pears.,pear
182,I want this is an apple.,apple
183,Look! It's a flower.,flower
184,"Look at that tree, it's really low.",tree
