final_sentence,grammar_score,coherence_score,word
The big red truck helped my friend fix her bike.,0.96,1,big
The small rabbit hopped quickly across the green grass.,0.97,1,small
The little rabbit wore a red bow on her head.,0.96,1,little
The largest fish in our aquarium is very large.,0.84,1,large
The artist used medium to create beautiful paintings slowly.,0.72,1,medium
"Here is a sentence that meets the requirements: ""The teacher calculates the average of the test scores."" This sentence includes the word ""average"" exactly as it is, and conveys a clear idea about calculating student scores in an",0.78,1,average
Here's a sentence that meets the requirements: The pencil measures one centimeter long exactly.,0.88,1,centimeter
The pencil lead broke because it was very short.,0.98,1,short
The company will shorten its summer break next year.,0.97,1,shorten
The longest day of summer vacation was very long.,0.84,1,long
The basketball player was tall and very strong.,0.87,1,tall
The picture of the house was drawn lengthwise on the paper.,0.8,1,lengthwise
The big box weighs very heavy on my back.,0.98,1,heavy
The scale shows the weight of my toy car.,0.97,1,weight
The scale will help us weigh the different types of food.,0.92,1,weigh
The kids made a big pile of leaves outside.,0.98,1,pile
The mail truck carries a heavy load every day.,0.98,1,load
The student felt pressure to do well on the test.,0.94,1,pressure
The scale in my science class weighs one kilogram.,0.97,1,kilogram
The pillow was very soft and comfortable to rest on.,0.87,1,soft
The rain helps to soften the dry earth slowly.,0.97,1,soften
"Here is a sentence that meets the requirements: Learning to ride a bike can be very hard. This sentence includes the word ""hard"" exactly as it is, without any changes or additional forms. It conveys a clear and simple",0.77,1,hard
The math test looked difficult for many of my classmates.,0.95,1,difficult
The gentle nurse held my hand very carefully today.,0.98,1,gentle
The plant's sensitive leaves need protection from strong winds.,0.95,1,sensitive
The teacher was strict about following classroom rules.,0.92,1,strict
The old book fell off the shelf yesterday.,0.99,1,old
"Here is a sentence that meets all the requirements: ""There were three puppies playing together outside."" This sentence includes the word ""three"" exactly as it is, conveys a clear and simple idea, and uses easy vocabulary and grammar suitable",0.79,1,three
The class has four students sitting together quietly.,0.98,1,four
The student had six pencils in her pencil case.,0.97,1,six
The teacher wrote seven numbers on the blackboard today.,0.96,1,seven
The eight students in my class are very happy.,0.84,1,eight
"This sentence meets the requirements: ""Today's class will meet at nine o'clock sharp always."" This sentence includes the word ""nine"" exactly as it is, and conveys a clear idea about the class schedule.",0.85,1,nine
"Here's a sentence that meets the requirements: ""The teacher counted ten students in her class."" This sentence is short, clear, and easy to understand for elementary school students in the US. It includes the word '",0.77,1,ten
The teacher gave eleven students a homework assignment.,0.98,1,eleven
Here's a sentence that meets the requirements: The cat was twelve years old today.,0.89,1,twelve
Here is a sentence that meets the requirements: There are thirteen students in my class today.,0.88,1,thirteen
The student in my class is fourteen years old.,0.84,1,fourteen
The teacher gave fifteen students extra recess time today.,0.96,1,fifteen
The temperature outside was sixteen degrees Celsius yesterday.,0.82,1,sixteen
"Here's a sentence that meets the requirements: ""Yesterday, I turned seventeen years old."" This sentence includes the word ""seventeen"" exactly as it is, conveys a simple idea about the speaker's age",0.8,1,seventeen
"Here is a sentence that meets the requirements: ""Yesterday I turned nineteen years old."" This sentence includes the word 'nineteen' exactly as it is, and conveys a clear idea of the speaker's",0.79,1,nineteen
"Here is a sentence that meets the requirements: ""After thirty days of homework, I finally finished my project."" This sentence includes the word 'thirty' exactly as it is, and conveys a single idea about how",0.81,1,thirty
The teacher asked us how old forty is.,1.0,1,forty
The cat slept for fifty minutes on my lap.,0.98,1,fifty
"Here's a sentence that meets all your requirements: ""The teacher wrote sixty names on the classroom board."" This sentence includes the word 'sixty' exactly as it is, without any changes or additional forms. It convey",0.77,1,sixty
The weatherman said it would be seventy degrees today.,0.96,1,seventy
"Here is a sentence that meets the requirements: ""The woman was eighty years old at that time."" This sentence includes the word 'eighty' exactly as it is, without any changes or additional forms. It conveys the",0.77,1,eighty
The student wrote ninety perfect papers on her test.,0.97,1,ninety
The teacher gave each student a hundred crayons.,0.98,1,hundred
"Here's a sentence that meets the requirements: ""The fireworks will shoot up a thousand feet high."" This sentence includes the word 'thousand' exactly as it is, is clear and simple, conveys a message",0.78,1,thousand
The class went on their eighth field trip today.,0.98,1,eighth
The fifth grade is a challenging but fun year.,0.82,1,fifth
The teacher will read a story aloud first.,1.0,1,first
The class has their ninth-grade field trip planned tomorrow.,0.95,1,ninth
"Here's a sentence that meets all the requirements: ""Please tell me what time it is for my second test."" This sentence includes the word ""second"" exactly as it is, is clear and simple, conveys a logical",0.8,1,second
The sun sets behind the third tree in our park.,0.95,1,third
The twelfth grade student had very little homework tonight.,0.96,1,twelfth
The twentieth day of the month was very special.,0.83,1,twentieth
The young girl loves playing outside in summer.,0.99,1,young
The new park has over a million visitors each year.,0.95,1,million
The company has a billion dollars in annual revenue.,0.96,1,billion
An adult always helps take care of their pet.,0.98,1,adult
The child's age will be 8 years old soon.,0.82,1,age
The teenager loves playing sports in her free time.,0.97,1,teenager
The youth are studying for their upcoming exams carefully.,0.96,1,youth
"Here's a 7-word sentence: ""When you double your money, you're rich."" This sentence is clear, simple, and easy to understand for an elementary school student in the US. It conveys the idea that when",0.8,1,double
The teacher gave the class a dozen pencils to share.,0.94,1,dozen
The elderly people need our help every day.,1.0,1,elderly
The teacher formed a trio of students to help with chores.,0.92,1,trio
"The triple threat of speed, skill, and teamwork works well.",0.96,1,triple
The chef carefully held a sharp knife in her hand.,0.95,1,knife
The girl carefully used scissors to cut the paper.,0.96,1,scissors
The scissors will cut through the thick string.,0.99,1,cut
The police officer kept his gun safely locked away.,0.98,1,gun
The brave knight used his sword to defend the kingdom.,0.95,1,sword
The pirate used his sword as a powerful weapon.,0.98,1,weapon
The sandwich needs a thin slice of turkey inside.,0.98,1,slice
The carpenter saw a big piece of wood on the floor.,0.92,1,saw
Please pack your lunch box for school today.,0.87,1,lunch box
The cat hid its toys in a small box.,0.98,1,box
The child blew up her balloon for the party.,0.97,1,balloon
The bell rings to signal the start of recess.,0.84,1,bell
The student drank from the bottle slowly.,0.99,1,bottle
The teacher placed a small tray on the desk.,0.97,1,tray
The students are looking forward to breakfast tomorrow morning.,0.95,1,breakfast
The kids were excited for their lunch today outside.,0.84,1,lunch
The family will eat together at dinner tonight.,0.99,1,dinner
The teacher gave us a healthy snack at recess today.,0.95,1,snack
"Here is a sentence that meets the requirements: ""The cafeteria serves food every morning at school."" This sentence includes the word 'food' exactly as it is, and conveys a clear idea about the time and place where",0.79,1,food
The sun rises in the morning sky.,0.99,1,morning
The teacher gave us homework after school in the afternoon.,0.94,1,afternoon
The family likes to watch TV in the evening.,0.97,1,evening
The stars shine brightly in the night sky.,0.99,1,night
My mom has breakfast every Saturday morning.,0.99,1,have breakfast
The class will have lunch at 12 o'clock today.,0.98,1,have lunch
The family will have dinner together tonight.,0.99,1,have dinner
"During the party, everyone loves to dance together.",1.0,1,dance
The little girl was a happy dancer.,0.87,1,dancer
The kids are going to the gym after school.,0.97,1,gym
The school soccer team joined a new sports club.,0.98,1,club
The drummer beats the drums very loudly outside.,0.99,1,beat
The kids love to run around in the park.,0.97,1,run
The kids are jogging around the neighborhood every Saturday.,0.94,1,jogging
The children will go for a walk around the park.,0.95,1,walk
"Here is a sentence that meets the requirements: ""The doctor recommends regular exercise for good health."" This sentence includes the word ""exercise"" exactly as it is, is clear and simple, conveys a logical idea about",0.78,1,exercise
"This sentence is clear, simple, and easy to understand for elementary school students in the US. It conveys a single idea (the girl trained and ran a marathon) and remains contextually coherent. The vocabulary and grammar used are age",0.75,1,run a marathon
"The path requires careful steps, so tread lightly outside.",0.96,1,tread
The cat tries to sneak into the kitchen quietly.,0.96,1,sneak
Students love to go skiing on weekends.,0.99,1,ski
My friends love skiing down the big snowy hills.,0.98,1,skiing
"Here is a sentence that meets the requirements: ""My brother likes to skate on the frozen pond."" This sentence includes the word ""skate"" exactly as it is, and conveys a simple idea about a child",0.79,1,skate
The kids love to swim in the cool summer water.,0.95,1,swim
The kids loved swimming in our backyard pool.,0.99,1,pool
"Here is a sentence that meets the requirements: ""My friend likes swimming in the cool ocean water."" This sentence includes the word 'swimming' exactly as it is, conveys a simple and clear idea,",0.8,1,swimming
My kids love to go swimming every summer.,1.0,1,go swimming
The kids are ready to jump into recess.,0.94,1,jump
"After considering the constraints, I came up with a sentence that meets all the requirements: ""After playing outside, take a shower at home."" This sentence is clear, simple, and easy to understand for elementary school students in the US.",0.84,1,take a shower
The paper boat will float on the lake.,1.0,1,float
The drummer played a loud beat on his drum.,0.98,1,drum
The boy picked up his guitar to play music.,0.98,1,guitar
The teacher has a piano in her classroom.,0.99,1,piano
The student plays a beautiful violin at the concert.,0.96,1,violin
The students enjoyed listening to music at recess.,0.99,1,music
The teacher gave us a musical instrument to play during recess.,0.92,1,musical
The teacher is also a talented young singer.,0.86,1,singer
The pianist practiced music every single day at home.,0.97,1,pianist
