final_sentence,grammar_score,coherence_score,word,sentence_meaning
It’s a knife and it’s not a fork.,0.94,1,knife,그것은 칼이고 포크가 아닙니다.
Here are scissors that cut paper.,1.0,1,scissors,이것은 종이를 자르는 가위입니다.
Here are scissors that cut paper and knives.,1.0,1,cut,여기에 종이를 자르는 가위와 칼이 있습니다.
I have dinner and it's a fork.,1.01,1,fork,저녁을 먹었는데 포크였어요.
He can pull the car.,1.01,1,pull,그는 차를 끌 수 있다.
Look! He can push the car.,0.99,1,push,보세요! 그는 차를 밀 수 있어요.
"I can’t help you, my finger hurts.",1.01,1,help,"도와줄 수 없어요, 손가락이 아파요."
I want a pink lunch box like this.,1.01,1,lunch box,저도 이런 핑크색 도시락 상자를 원해요.
I want a pink lunch box.,1.01,1,box,저는 분홍색 도시락 상자를 원해요.
"Here is my gift, it's a blue doll.",0.85,1,gift,이것이 제 선물입니다. 파란색 인형이에요.
It is my key.,0.86,1,key,이게 내 열쇠예요.
I have two tickets and a key.,1.0,1,ticket,저는 티켓 두 장과 열쇠 한 장을 가지고 있습니다.
Close the door and open the window.,0.87,1,door,문을 닫고 창문을 여세요.
Close the door and open the window.,0.87,1,window,문을 닫고 창문을 여세요.
"I have breakfast and lunch, but it's sunny.",0.98,1,breakfast,아침과 점심을 먹었는데 날씨가 맑네요.
I have lunch and I’m eating.,0.98,1,lunch,점심을 먹고 있어요.
I have dinner and I have breakfast.,0.99,1,dinner,저녁을 먹고 아침도 먹어요.
"It's sunny in the morning, I have breakfast.",0.98,1,morning,"아침은 맑고, 아침밥을 먹습니다."
It's cool in the evening at night.,0.87,1,evening,저녁에는 시원해요.
It’s cold at night and I get up late.,0.96,1,night,밤에는 추워서 늦게 일어나요.
"I’m at home, open the window.",0.99,1,home,나는 집에 있어요. 창문을 열어주세요.
It’s three o’clock and I get up.,1.0,1,o’clock,오후 3시가 되어서 일어났습니다.
We are dancers playing instruments together.,0.95,1,dance,우리는 함께 악기를 연주하는 댄서입니다.
We are dancers and she can dance.,1.0,1,dancer,우리는 댄서이고 그녀는 춤을 출 수 있어요.
I can walk and stand up slowly.,1.01,1,walk,나는 천천히 걷고 일어설 수 있습니다.
Let's go to the train station.,1.0,1,train,기차역으로 가자.
They go on a trip every weekend.,1.0,1,trip,그들은 주말마다 여행을 간다.
It's a new shop on Friday.,0.62,1,shop,금요일에 새로운 매장이 오픈해요.
I like skiing and I also like swimming.,0.96,1,ski,저는 스키를 좋아하고 수영도 좋아해요.
I like skiing this weekend.,1.0,1,skiing,이번 주말에는 스키를 타는 걸 좋아해요.
He can’t skate because he fell.,0.99,1,skate,그는 넘어져서 스케이트를 탈 수 없습니다.
I like riding my bike.,1.01,1,bike,저는 자전거 타는 걸 좋아해요.
I like swimming at the pool.,1.0,1,swim,저는 수영장에서 수영하는 것을 좋아해요.
I’m at the pool and I like swimming.,0.95,1,pool,저는 수영장에 있고 수영하는 것을 좋아해요.
I like swimming at the pool.,1.0,1,swimming,저는 수영장에서 수영하는 것을 좋아해요.
I can jump and run quickly.,1.0,1,jump,나는 빠르게 점프하고 달릴 수 있어요.
Look! I can run. Sit down now.,0.97,0,run,보세요! 달릴 수 있어요. 지금 앉아요.
I can fly because I am a pilot.,0.99,1,fly,나는 조종사이기 때문에 날 수 있어요.
Let's go to the subway station.,1.0,1,go,지하철역으로 가자.
Let's throw a ball.,1.01,1,throw,공을 던지자.
Let's have a party at home.,1.01,1,party,집에서 파티를 열자.
Let's have a party and play volleyball.,1.0,1,have a party,파티를 열고 배구를 즐기자.
It's time to say Happy birthday!,0.93,1,birthday,생일 축하할 시간이 왔어요!
We go on a picnic every weekend.,1.0,1,picnic,우리는 매주말마다 피크닉을 갑니다.
Let's play the piano and other instruments.,0.98,1,piano,피아노와 다른 악기를 연주해 봅시다.
Let's play the violin.,1.01,1,violin,바이올린을 연주하자.
They listen to music while singing songs.,1.0,1,music,그들은 노래를 부르면서 음악을 듣는다.
We watch a musical and play piano.,0.75,1,musical,우리는 뮤지컬을 보고 피아노를 연주합니다.
That light is dark.,0.86,1,light,그 빛은 어둠입니다.
Let's play the drum.,1.01,1,drum,드럼을 연주하자.
Let's play the guitar.,1.01,1,guitar,기타를 연주하자.
Let's play the recorder while listening music.,0.99,1,recorder,음악을 들으며 레코더를 연주해 보세요.
Let's sing a song.,1.01,1,song,노래를 부르자.
This is my yellow radio that listens.,0.75,1,radio,이건 제 노란색 라디오예요.
He is a singer and sings songs.,0.94,1,singer,그는 가수이고 노래를 부릅니다.
It's fast.,0.84,1,fast,빠르죠.
Your arm is long.,0.86,1,long,당신의 팔은 길다.
Your belt is short and your arm is long.,0.84,1,short,당신의 벨트는 짧고 팔은 길어요.
"She is smart, he is foolish, it’s fast and you’re kind.",0.65,0,smart,"그녀는 똑똑하고, 그는 어리석고, 빠르고, 당신은 친절해요."
He is foolish and very poor today.,0.87,1,foolish,그는 오늘 어리석고 매우 가난합니다.
He is bad because he is sick.,0.85,1,bad,그는 아프기 때문에 나쁘다.
They're good snacks when I'm eating.,1.01,1,good,식사할 때 간식으로 먹기 좋아요.
We’re honest friends who close the door.,1.0,1,honest,우리는 문을 닫는 정직한 친구입니다.
I get up early at five ten.,1.01,1,early,저는 오전 5시 10분에 일찍 일어납니다.
It's five ten now I get up late.,0.73,1,late,"지금은 오후 5시 10분이고, 나는 늦게 일어납니다."
Close the door and open the window.,0.87,1,open,문을 닫고 창문을 여세요.
They are quiet and touching your ear.,0.93,1,quiet,그들은 조용하며 당신의 귀를 만집니다.
"They are noisy, I can't hear you.",1.01,1,noisy,그들은 시끄러워서 당신의 말이 들리지 않습니다.
I’m sorry I didn’t hear what you said.,0.93,1,sorry,당신이 한 말을 듣지 못해서 미안해요.
Touch your ear so I can hear.,1.01,1,hear,귀를 만져주세요. 그러면 들을 수 있게요.
He can understand it and speak English.,0.99,1,understand,그는 그것을 이해하고 영어로 말할 수 있습니다.
Let's listen to the song through my radio.,0.98,1,listen,라디오로 노래를 들어보자.
We’re in the bookstore on Friday.,1.0,1,bookstore,우리는 금요일에 서점에 가요.
The bookshelf is dirty.,0.85,1,bookshelf,책장이 더럽습니다.
We go to the bank.,1.01,1,bank,우리는 은행에 가요.
I’m in the library on Tuesday.,0.97,1,library,저는 화요일에 도서관에 있어요.
"I have a book, it's her book.",1.01,1,book,"저는 책 한 권을 가지고 있는데, 그 책은 그녀의 책이에요."
Let's go to the post office.,1.01,1,post office,우체국으로 가자.
The closet is clean.,0.86,1,closet,옷장이 깨끗해요.
The fridge is small and has snacks.,0.94,1,fridge,냉장고는 작고 간식도 있어요.
The house is big.,0.86,1,house,집이 크네요.
Close the door because The wall is dirty.,0.93,1,wall,벽이 더러우니 문을 닫으세요.
It’s a big apartment.,1.0,1,apartment,정말 큰 아파트예요.
I go to the hospital as a nurse.,1.0,1,hospital,저는 간호사로 병원에 갑니다.
I'm going to the hospital with the ambulance.,0.96,1,ambulance,나는 구급차를 타고 병원에 간다.
She is a nurse at the hospital.,0.87,1,nurse,그녀는 병원의 간호사입니다.
The telephone is white; it's his bell.,0.87,0,telephone,전화기는 흰색이에요. 그의 종이죠.
Ann is a doctor at the hospital.,0.87,1,doctor,앤은 병원의 의사입니다.
I have a black ball.,1.01,1,ball,내 공은 검은색이에요.
Let's play badminton.,0.98,1,badminton,배드민턴을 치자.
We like sports and let's play baseball.,1.0,1,baseball,우리는 스포츠를 좋아해서 야구를 즐깁니다.
We are playing basketball and throwing a ball.,0.99,1,basketball,우리는 농구를 하면서 공을 던지고 있어요.
Let's play golf.,0.99,1,golf,골프를 치자.
We are playing badminton and ping-pong together.,0.99,1,ping-pong,우리는 함께 배드민턴과 탁구를 치고 있어요.
We are playing soccer.,0.98,1,soccer,우리는 축구를 하고 있어요.
We like sports and want to play badminton.,1.0,1,sport,우리는 스포츠를 좋아하고 배드민턴을 치고 싶어요.
We are playing tennis and badminton.,0.99,1,tennis,우리는 테니스와 배드민턴을 치고 있어요.
Let's play volleyball.,0.98,1,volleyball,배구 치자.
They watch a movie on television.,1.0,1,television,그들은 텔레비전으로 영화를 본다.
We play computer games on the board.,1.0,1,computer game,우리는 보드에서 컴퓨터 게임을 합니다.
The board is big and very long.,0.87,1,board,보드는 크고 매우 길어요.
Let's play volleyball with our friends.,0.99,1,play,친구들과 배구를 하자.
"I have a bird, it's a zebra.",1.01,1,bird,"새 한 마리를 키우고 있는데, 얼룩말이에요."
I want chicken.,0.96,1,chicken,나는 닭고기를 먹고 싶어.
I want a bat.,0.99,1,bat,나는 박쥐를 원한다.
The pilot flies the plane gray.,1.0,0,plane,조종사는 회색 비행기를 조종합니다.
You like curry when your foot hurts.,1.01,1,curry,발이 아플 때는 카레를 좋아해요.
We see the bees in the sky.,1.0,1,bee,우리는 하늘에 벌을 봅니다.
He is a pilot and I can fly.,1.01,0,pilot,그는 조종사이고 나는 비행을 할 수 있어요.
I have four cats.,0.99,1,cat,나는 고양이를 네 마리나 키우고 있어요.
I have a dog and it's a wolf.,0.97,1,dog,저는 개를 키우고 있는데 그 개는 늑대예요.
They have a pet and I do not.,1.01,1,pet,그들은 애완동물을 키우지만 나는 키우지 않아요.
I have a doll. It's a blue doll.,0.95,1,doll,인형이 있어요. 파란색 인형이에요.
I have a robot and a dog.,1.0,1,robot,저는 로봇과 개를 키우고 있어요.
It's a new computer and has notebooks.,0.93,1,computer,새로운 컴퓨터이고 노트북도 있어요.
It’s a mouse holding your pencil.,1.0,1,mouse,연필을 잡고 있는 쥐입니다.
I don’t like spiders.,1.0,1,spider,나는 거미를 좋아하지 않아.
That is his camera.,0.86,1,camera,그것이 그의 카메라예요.
This is my fan because it’s hot.,1.0,1,fan,이게 내 팬인 이유는 날씨가 더워서예요.
Look at the fish.,0.86,1,fish,물고기를 보세요.
His hobby is fishing.,0.98,1,fishing,그의 취미는 낚시입니다.
The boy looks at the yellow boat.,1.0,1,boat,소년은 노란색 배를 바라본다.
Look at the river.,0.86,1,river,강을 보세요.
Look at the sea and see dolphins.,0.87,1,sea,바다를 바라보면 돌고래가 보입니다.
I see the pink dolphins in the sea.,0.99,1,dolphin,바다에서 분홍 돌고래를 봅니다.
I'm washing my hands at the sink.,1.0,1,sink,나는 세면대에서 손을 씻고 있어요.
I like lions and look at the tiger.,1.01,1,tiger,나는 사자를 좋아하고 호랑이를 봅니다.
"I like lions, it's a zebra.",0.76,0,lion,"나는 사자를 좋아해요, 얼룩말이에요."
I’m at the zoo.,0.98,1,zoo,나는 동물원에 있어요.
Look at the bear.,0.86,1,bear,곰을 보세요.
I have one cow.,0.99,1,cow,나는 소 한 마리를 가지고 있습니다.
Look at the elephant.,0.85,1,elephant,코끼리를 보세요.
Look I have a monkey and a kiwi.,0.75,1,monkey,"보세요, 저는 원숭이와 키위를 가지고 있어요."
I have three pigs.,0.99,1,pig,나는 돼지를 세 마리 키우고 있어요.
I like frogs and I also like lemons.,0.99,1,frog,저는 개구리도 좋아하고 레몬도 좋아해요.
I like giraffes and kangaroos.,0.99,1,giraffe,저는 기린과 캥거루를 좋아해요.
I like kangaroos.,0.96,1,kangaroo,나는 캥거루를 좋아해요.
I see rabbits and I don’t like them.,0.97,1,rabbit,나는 토끼를 보고 그것을 좋아하지 않는다.
I see a wolf that looks like It’s a kiwi.,0.92,1,wolf,키위처럼 생긴 늑대가 보이네요.
It's a zebra and I like giraffes.,1.0,1,zebra,그것은 얼룩말이고 저는 기린을 좋아해요.
They see the deer in the zoo.,1.0,1,deer,그들은 동물원에서 사슴을 본다.
Look at the lambs.,0.86,1,lamb,어린양들을 보세요.
Look at the snakes.,0.86,1,snake,뱀을 보세요.
I like watermelons more than lemons and peaches.,0.97,1,melon,나는 레몬과 복숭아보다 수박을 더 좋아한다.
I like watermelons and strawberries too.,0.94,1,watermelon,저는 수박과 딸기도 좋아해요.
I like grapes and strawberries.,0.97,1,grapes,저는 포도와 딸기를 좋아해요.
"I like juice, that is a lemon.",0.76,1,lemon,"저는 주스를 좋아하는데, 그건 레몬이에요."
I have this strawberry and I like grapes.,0.99,1,strawberry,저는 딸기를 좋아하고 포도도 좋아해요.
I like juice.,0.98,1,juice,나는 주스를 좋아해요.
The fruit is carrots.,0.85,1,carrot,그 과일은 당근입니다.
I don’t like butter and do you want onions?,0.95,1,onion,저는 버터를 좋아하지 않는데 양파는 원하시나요?
I don’t like pepper.,1.01,1,pepper,나는 후추를 좋아하지 않는다.
I want jam and I like juice.,1.0,1,jam,나는 잼을 원하고 주스를 좋아해요.
This is an orange that's green and red.,0.85,1,orange,이것은 녹색과 빨간색이 섞인 주황색이에요.
